txn_id,subscriber_id,txn_timestamp,amount,channel,payment_status
TXN000038,SUB00217,2025-04-24 16:00:00,149,Wallet,FAILED
TXN000039,SUB00945,2025-03-03 14:00:00,99,Card,SUCCESS
TXN000040,SUB00753,2025-05-15 16:00:00,249,UPI,SUCCESS
TXN000041,SUB00917,2025-01-21 10:00:00,499,Wallet,SUCCESS
TXN000042,SUB00554,2025-06-12 03:00:00,149,Retailer,SUCCESS
TXN000043,SUB00732,2025-01-20 09:00:00,499,Card,SUCCESS
TXN000044,SUB00861,2025-05-03 21:00:00,199,Retailer,SUCCESS
TXN000045,SUB00277,2025-05-04 19:00:00,299,Wallet,FAILED
TXN000046,SUB00259,2025-03-05 06:00:00,499,UPI,SUCCESS
TXN000047,SUB01000,2025-05-20 05:00:00,249,Card,FAILED
TXN000048,SUB00827,2025-01-10 11:00:00,399,Retailer,SUCCESS
TXN000049,SUB00446,2025-02-04 01:00:00,299,Wallet,SUCCESS
TXN000050,SUB00944,2025-04-23 16:00:00,199,Retailer,SUCCESS
TXN000051,SUB00919,2025-01-04 03:00:00,199,Retailer,SUCCESS
TXN000052,SUB00302,2025-04-15 12:00:00,149,UPI,FAILED
TXN000053,SUB00630,2025-06-28 15:00:00,299,Wallet,SUCCESS
TXN000054,SUB00352,2025-06-11 04:00:00,199,Wallet,FAILED
TXN000055,SUB00875,2025-03-18 04:00:00,199,Wallet,FAILED
TXN000056,SUB00808,2025-04-19 12:00:00,249,Card,FAILED
TXN000057,SUB00183,2025-05-27 19:00:00,99,Retailer,SUCCESS
TXN000058,SUB00139,2025-04-18 15:00:00,299,Wallet,SUCCESS
TXN000059,SUB00444,2025-06-20 00:00:00,99,Wallet,SUCCESS
TXN000060,SUB00107,2025-02-28 16:00:00,149,Retailer,FAILED
TXN000061,SUB00947,2025-03-01 17:00:00,249,Card,SUCCESS
TXN000062,SUB00631,2025-02-04 06:00:00,499,Retailer,SUCCESS
TXN000063,SUB00159,2025-04-02 20:00:00,199,Retailer,FAILED
TXN000064,SUB00514,2025-04-18 05:00:00,299,Retailer,SUCCESS
TXN000065,SUB00089,2025-01-16 07:00:00,199,Retailer,SUCCESS
TXN000066,SUB00510,2025-03-10 20:00:00,299,UPI,FAILED
TXN000067,SUB00936,2025-03-21 06:00:00,249,UPI,FAILED
TXN000068,SUB00313,2025-05-29 05:00:00,249,Card,SUCCESS
TXN000069,SUB00238,2025-06-10 11:00:00,99,Retailer,SUCCESS
TXN000070,SUB00054,2025-01-20 04:00:00,499,Retailer,SUCCESS
TXN000071,SUB00883,2025-03-15 12:00:00,399,UPI,FAILED
TXN000072,SUB00819,2025-04-22 02:00:00,199,UPI,FAILED
TXN000073,SUB00929,2025-01-22 00:00:00,99,UPI,SUCCESS
TXN000074,SUB00402,2025-04-02 21:00:00,299,Wallet,SUCCESS
TXN000075,SUB00348,2025-03-21 23:00:00,149,UPI,SUCCESS
TXN000076,SUB00099,2025-05-02 16:00:00,499,Wallet,SUCCESS
TXN000077,SUB00134,2025-06-17 23:00:00,499,Retailer,FAILED
TXN000078,SUB00306,2025-06-16 22:00:00,149,UPI,FAILED
TXN000079,SUB00323,2025-02-16 22:00:00,149,Wallet,FAILED
TXN000080,SUB00691,2025-05-21 18:00:00,299,Retailer,FAILED
TXN000081,SUB00953,2025-02-20 01:00:00,249,Card,SUCCESS
TXN000082,SUB00112,2025-04-16 12:00:00,199,Retailer,FAILED
TXN000083,SUB00908,2025-01-28 01:00:00,399,Retailer,SUCCESS
TXN000084,SUB00643,2025-05-17 21:00:00,399,Retailer,SUCCESS
TXN000085,SUB00886,2025-01-31 15:00:00,99,Card,FAILED
TXN000086,SUB00935,2025-03-06 00:00:00,399,Card,SUCCESS
TXN000087,SUB00035,2025-01-06 13:00:00,199,Card,SUCCESS
TXN000088,SUB00470,2025-04-18 08:00:00,149,Wallet,FAILED
TXN000089,SUB00662,2025-03-20 21:00:00,249,Wallet,SUCCESS
TXN000090,SUB00940,2025-04-21 21:00:00,399,Wallet,SUCCESS
TXN000091,SUB00868,2025-03-23 06:00:00,199,Retailer,SUCCESS
TXN000092,SUB00689,2025-03-09 02:00:00,99,Retailer,SUCCESS
TXN000093,SUB00161,2025-05-11 11:00:00,399,Wallet,SUCCESS
TXN000094,SUB00735,2025-05-21 17:00:00,399,Retailer,SUCCESS
TXN000095,SUB00368,2025-06-03 20:00:00,299,Retailer,SUCCESS
TXN000096,SUB00578,2025-02-17 01:00:00,199,UPI,FAILED
TXN000097,SUB00353,2025-03-24 05:00:00,499,Card,SUCCESS
TXN000098,SUB00051,2025-01-26 12:00:00,199,Card,SUCCESS
TXN000099,SUB00933,2025-06-18 07:00:00,399,Card,FAILED
TXN000100,SUB00983,2025-05-07 14:00:00,399,Wallet,SUCCESS
TXN000101,SUB00659,2025-03-15 07:00:00,149,Card,FAILED
TXN000102,SUB00720,2025-03-21 11:00:00,399,Retailer,FAILED
TXN000103,SUB00439,2025-05-08 22:00:00,399,Wallet,FAILED
TXN000104,SUB00056,2025-03-17 15:00:00,249,Card,SUCCESS
TXN000105,SUB00652,2025-06-12 12:00:00,399,Wallet,FAILED
TXN000106,SUB00493,2025-02-08 23:00:00,499,Card,FAILED
TXN000107,SUB00793,2025-03-17 03:00:00,299,UPI,SUCCESS
TXN000108,SUB00462,2025-06-10 21:00:00,499,UPI,SUCCESS
TXN000109,SUB00033,2025-06-02 18:00:00,249,Wallet,SUCCESS
TXN000110,SUB00178,2025-06-07 16:00:00,149,Card,SUCCESS
TXN000111,SUB00389,2025-06-12 08:00:00,149,UPI,SUCCESS
TXN000112,SUB00515,2025-02-02 13:00:00,199,Wallet,FAILED
TXN000113,SUB00482,2025-01-13 05:00:00,199,UPI,SUCCESS
TXN000114,SUB00351,2025-06-14 11:00:00,249,UPI,SUCCESS
TXN000115,SUB00786,2025-05-16 23:00:00,199,Card,SUCCESS
TXN000116,SUB00695,2025-03-31 12:00:00,199,UPI,FAILED
TXN000117,SUB00151,2025-02-27 09:00:00,149,Wallet,SUCCESS
TXN000118,SUB00058,2025-04-30 22:00:00,99,UPI,SUCCESS
TXN000119,SUB00874,2025-06-16 06:00:00,99,Card,FAILED
TXN000120,SUB00337,2025-06-06 20:00:00,199,Card,SUCCESS
TXN000121,SUB00956,2025-04-26 17:00:00,399,Wallet,SUCCESS
TXN000122,SUB00635,2025-01-06 23:00:00,249,Card,FAILED
TXN000123,SUB00746,2025-02-01 04:00:00,299,Card,SUCCESS
TXN000124,SUB00653,2025-01-26 02:00:00,149,Retailer,SUCCESS
TXN000125,SUB00653,2025-02-08 03:00:00,399,UPI,SUCCESS
TXN000126,SUB00263,2025-03-09 15:00:00,299,Card,SUCCESS
TXN000127,SUB00651,2025-04-27 01:00:00,249,UPI,SUCCESS
TXN000128,SUB00877,2025-01-08 14:00:00,99,Wallet,FAILED
TXN000129,SUB00739,2025-01-06 20:00:00,249,Card,SUCCESS
TXN000130,SUB00685,2025-02-25 05:00:00,249,Retailer,SUCCESS
TXN000131,SUB00955,2025-03-07 22:00:00,399,Card,SUCCESS
TXN000132,SUB00438,2025-03-27 14:00:00,149,UPI,SUCCESS
TXN000133,SUB00621,2025-05-15 01:00:00,199,Retailer,SUCCESS
TXN000134,SUB00493,2025-05-12 19:00:00,499,Card,SUCCESS
TXN000135,SUB00619,2025-05-13 15:00:00,249,Wallet,SUCCESS
TXN000136,SUB00718,2025-06-16 06:00:00,299,Retailer,SUCCESS
TXN000137,SUB00399,2025-05-25 03:00:00,499,Wallet,SUCCESS
TXN000138,SUB00284,2025-03-10 03:00:00,499,Card,FAILED
TXN000139,SUB00937,2025-04-03 14:00:00,399,Card,FAILED
TXN000140,SUB00170,2025-04-13 04:00:00,399,UPI,SUCCESS
TXN000141,SUB00430,2025-04-01 03:00:00,199,Wallet,SUCCESS
TXN000142,SUB00494,2025-03-14 14:00:00,499,Retailer,SUCCESS
TXN000143,SUB00370,2025-06-14 10:00:00,399,Card,SUCCESS
TXN000144,SUB00985,2025-02-22 02:00:00,399,Retailer,FAILED
TXN000145,SUB00964,2025-02-28 02:00:00,499,Card,FAILED
TXN000146,SUB00306,2025-05-07 10:00:00,249,UPI,FAILED
TXN000147,SUB00852,2025-04-19 23:00:00,99,Retailer,SUCCESS
TXN000148,SUB00370,2025-06-11 01:00:00,149,UPI,SUCCESS
TXN000149,SUB00822,2025-01-06 01:00:00,149,Retailer,FAILED
TXN000150,SUB00435,2025-03-20 21:00:00,299,Wallet,FAILED
TXN000151,SUB00687,2025-04-29 01:00:00,499,UPI,SUCCESS
TXN000152,SUB00124,2025-06-12 04:00:00,199,Card,FAILED
TXN000153,SUB00920,2025-06-16 01:00:00,499,Retailer,SUCCESS
TXN000154,SUB00098,2025-06-07 22:00:00,99,Wallet,SUCCESS
TXN000155,SUB00909,2025-05-07 12:00:00,299,Card,SUCCESS
TXN000156,SUB00748,2025-05-23 14:00:00,399,Card,FAILED
TXN000157,SUB00892,2025-05-08 09:00:00,399,Retailer,SUCCESS
TXN000158,SUB00184,2025-04-12 16:00:00,399,Retailer,SUCCESS
TXN000159,SUB00200,2025-01-23 02:00:00,399,Wallet,SUCCESS
TXN000160,SUB00685,2025-03-08 06:00:00,299,Retailer,SUCCESS
TXN000161,SUB00880,2025-06-18 00:00:00,249,Wallet,SUCCESS
TXN000162,SUB00618,2025-02-19 23:00:00,99,Wallet,FAILED
TXN000163,SUB00307,2025-03-06 20:00:00,299,Wallet,SUCCESS
TXN000164,SUB00608,2025-06-30 18:00:00,249,Wallet,SUCCESS
TXN000165,SUB00993,2025-06-23 18:00:00,499,Retailer,SUCCESS
TXN000166,SUB00649,2025-03-09 21:00:00,149,Wallet,SUCCESS
TXN000167,SUB00990,2025-05-28 22:00:00,499,Card,SUCCESS
TXN000168,SUB00458,2025-06-20 02:00:00,499,Wallet,SUCCESS
TXN000169,SUB00875,2025-02-28 21:00:00,399,Retailer,FAILED
TXN000170,SUB00340,2025-01-02 20:00:00,249,UPI,SUCCESS
TXN000171,SUB00691,2025-01-29 17:00:00,149,Wallet,SUCCESS
TXN000172,SUB00662,2025-01-31 00:00:00,149,UPI,FAILED
TXN000173,SUB00545,2025-04-22 14:00:00,149,UPI,SUCCESS
TXN000174,SUB00364,2025-05-29 03:00:00,199,Wallet,FAILED
TXN000175,SUB00383,2025-04-17 13:00:00,99,Retailer,SUCCESS
TXN000176,SUB00746,2025-04-28 21:00:00,249,UPI,SUCCESS
TXN000177,SUB00738,2025-03-27 01:00:00,399,Wallet,SUCCESS
TXN000178,SUB00279,2025-01-01 02:00:00,99,Card,SUCCESS
TXN000179,SUB00670,2025-04-06 10:00:00,249,Retailer,FAILED
TXN000180,SUB00312,2025-04-29 11:00:00,249,Retailer,SUCCESS
TXN000181,SUB00764,2025-04-28 06:00:00,399,Card,FAILED
TXN000182,SUB00659,2025-05-03 15:00:00,199,UPI,SUCCESS
TXN000183,SUB00346,2025-01-01 13:00:00,299,Wallet,FAILED
TXN000184,SUB00022,2025-02-08 07:00:00,149,UPI,FAILED
TXN000185,SUB00803,2025-03-18 13:00:00,499,Card,SUCCESS
TXN000186,SUB00319,2025-06-29 15:00:00,399,UPI,SUCCESS
TXN000187,SUB00858,2025-01-26 12:00:00,499,Wallet,SUCCESS
TXN000188,SUB00871,2025-04-29 07:00:00,499,UPI,SUCCESS
TXN000189,SUB00209,2025-03-17 05:00:00,299,UPI,SUCCESS
TXN000190,SUB00727,2025-05-16 02:00:00,399,Retailer,SUCCESS
TXN000191,SUB00593,2025-02-21 01:00:00,299,Retailer,SUCCESS
TXN000192,SUB00361,2025-01-15 15:00:00,99,UPI,SUCCESS
TXN000193,SUB00408,2025-02-01 12:00:00,299,UPI,SUCCESS
TXN000194,SUB00444,2025-04-28 01:00:00,199,UPI,SUCCESS
TXN000195,SUB00122,2025-01-31 14:00:00,399,Retailer,SUCCESS
TXN000196,SUB00624,2025-04-21 21:00:00,149,UPI,FAILED
TXN000197,SUB00590,2025-03-14 13:00:00,249,UPI,FAILED
TXN000198,SUB00953,2025-06-09 12:00:00,399,UPI,FAILED
TXN000199,SUB00473,2025-03-11 19:00:00,249,UPI,SUCCESS
TXN000200,SUB00154,2025-06-04 16:00:00,149,UPI,FAILED
TXN000201,SUB00686,2025-05-06 17:00:00,299,Wallet,FAILED
TXN000202,SUB00481,2025-04-26 18:00:00,299,Card,SUCCESS
TXN000203,SUB00797,2025-02-25 14:00:00,199,Retailer,FAILED
TXN000204,SUB00759,2025-04-11 17:00:00,399,Retailer,SUCCESS
TXN000205,SUB00458,2025-03-06 16:00:00,149,Card,SUCCESS
TXN000206,SUB00894,2025-01-10 18:00:00,399,Retailer,SUCCESS
TXN000207,SUB00921,2025-03-25 08:00:00,249,Wallet,FAILED
TXN000208,SUB00364,2025-01-05 03:00:00,499,Card,SUCCESS
TXN000209,SUB00394,2025-04-26 04:00:00,399,UPI,SUCCESS
TXN000210,SUB00856,2025-03-25 12:00:00,249,UPI,SUCCESS
TXN000211,SUB00019,2025-05-18 05:00:00,299,Card,SUCCESS
TXN000212,SUB00771,2025-04-14 09:00:00,299,UPI,FAILED
TXN000213,SUB00246,2025-04-26 02:00:00,249,Wallet,SUCCESS
TXN000214,SUB00582,2025-03-13 21:00:00,399,Card,FAILED
TXN000215,SUB00830,2025-02-25 21:00:00,99,Wallet,FAILED
TXN000216,SUB00419,2025-06-13 07:00:00,249,UPI,SUCCESS
TXN000217,SUB00121,2025-06-17 19:00:00,99,Wallet,SUCCESS
TXN000218,SUB00525,2025-01-20 22:00:00,149,Retailer,FAILED
TXN000219,SUB00823,2025-01-06 00:00:00,199,Retailer,FAILED
TXN000220,SUB00050,2025-03-19 13:00:00,399,Wallet,SUCCESS
TXN000221,SUB00613,2025-03-09 01:00:00,499,Wallet,FAILED
TXN000222,SUB00825,2025-05-20 02:00:00,199,UPI,FAILED
TXN000223,SUB00779,2025-02-27 19:00:00,199,Card,SUCCESS
TXN000224,SUB00574,2025-05-25 02:00:00,499,UPI,FAILED
TXN000225,SUB00703,2025-02-11 13:00:00,499,UPI,SUCCESS
TXN000226,SUB00639,2025-05-09 13:00:00,399,UPI,FAILED
TXN000227,SUB00433,2025-05-14 02:00:00,499,Wallet,SUCCESS
TXN000228,SUB00881,2025-01-21 13:00:00,399,Retailer,FAILED
TXN000229,SUB00399,2025-01-25 03:00:00,249,Retailer,FAILED
TXN000230,SUB00156,2025-06-05 08:00:00,149,UPI,SUCCESS
TXN000231,SUB00910,2025-05-01 01:00:00,299,UPI,SUCCESS
TXN000232,SUB00759,2025-05-13 23:00:00,199,Card,SUCCESS
TXN000233,SUB00695,2025-01-03 08:00:00,299,Retailer,SUCCESS
TXN000234,SUB00729,2025-06-25 18:00:00,399,Wallet,FAILED
TXN000235,SUB00496,2025-02-15 09:00:00,99,UPI,SUCCESS
TXN000236,SUB00061,2025-02-20 02:00:00,199,UPI,FAILED
TXN000237,SUB00806,2025-05-14 13:00:00,99,Retailer,SUCCESS
TXN000238,SUB00604,2025-05-23 19:00:00,249,Card,SUCCESS
TXN000239,SUB00703,2025-03-21 19:00:00,199,Retailer,SUCCESS
TXN000240,SUB00271,2025-06-15 03:00:00,299,Wallet,FAILED
TXN000241,SUB00989,2025-03-30 16:00:00,149,Card,SUCCESS
TXN000242,SUB00078,2025-06-03 18:00:00,99,UPI,SUCCESS
TXN000243,SUB00140,2025-04-14 07:00:00,149,Wallet,FAILED
TXN000244,SUB00856,2025-02-04 04:00:00,249,Retailer,FAILED
TXN000245,SUB00779,2025-05-02 01:00:00,299,Wallet,FAILED
TXN000246,SUB00314,2025-06-23 05:00:00,249,Card,SUCCESS
TXN000247,SUB00632,2025-06-18 23:00:00,199,Wallet,SUCCESS
TXN000248,SUB00204,2025-06-27 08:00:00,199,Card,SUCCESS
TXN000249,SUB00247,2025-05-14 20:00:00,99,UPI,SUCCESS
TXN000250,SUB00321,2025-06-15 10:00:00,249,Retailer,FAILED
TXN000251,SUB00284,2025-01-26 21:00:00,199,UPI,SUCCESS
TXN000252,SUB00638,2025-05-20 11:00:00,199,Card,SUCCESS
TXN000253,SUB00928,2025-02-22 15:00:00,199,UPI,FAILED
TXN000254,SUB00777,2025-02-25 19:00:00,249,Card,SUCCESS
TXN000255,SUB00474,2025-03-23 05:00:00,499,Wallet,SUCCESS
TXN000256,SUB00698,2025-02-26 04:00:00,199,Card,SUCCESS
TXN000257,SUB00716,2025-02-07 03:00:00,399,Card,FAILED
TXN000258,SUB00358,2025-05-04 18:00:00,249,Wallet,SUCCESS
TXN000259,SUB00170,2025-05-22 00:00:00,249,Card,SUCCESS
TXN000260,SUB00383,2025-01-05 00:00:00,249,Wallet,FAILED
TXN000261,SUB00334,2025-03-25 23:00:00,299,UPI,SUCCESS
TXN000262,SUB00801,2025-05-13 05:00:00,299,Wallet,SUCCESS
TXN000263,SUB00488,2025-06-23 17:00:00,149,Retailer,SUCCESS
TXN000264,SUB00375,2025-03-30 16:00:00,249,Card,FAILED
TXN000265,SUB00194,2025-04-26 00:00:00,499,Retailer,SUCCESS
TXN000266,SUB00646,2025-06-13 11:00:00,499,Retailer,FAILED
TXN000267,SUB00223,2025-04-08 00:00:00,299,UPI,SUCCESS
TXN000268,SUB00361,2025-05-18 04:00:00,499,Card,SUCCESS
TXN000269,SUB00148,2025-02-21 22:00:00,399,UPI,SUCCESS
TXN000270,SUB00472,2025-04-06 00:00:00,99,UPI,SUCCESS
TXN000271,SUB00203,2025-02-04 20:00:00,249,UPI,SUCCESS
TXN000272,SUB00856,2025-03-18 03:00:00,499,Wallet,SUCCESS
TXN000273,SUB00489,2025-03-28 12:00:00,499,Retailer,SUCCESS
TXN000274,SUB00754,2025-05-05 02:00:00,149,Retailer,FAILED
TXN000275,SUB00602,2025-05-18 15:00:00,99,UPI,FAILED
TXN000276,SUB00995,2025-03-27 07:00:00,299,Card,FAILED
TXN000277,SUB00958,2025-05-30 17:00:00,399,UPI,SUCCESS
TXN000278,SUB00722,2025-02-08 20:00:00,499,Card,FAILED
TXN000279,SUB00890,2025-06-06 12:00:00,499,Wallet,SUCCESS
TXN000280,SUB00705,2025-04-04 06:00:00,499,Retailer,SUCCESS
TXN000281,SUB00277,2025-03-15 10:00:00,99,Card,FAILED
TXN000282,SUB00336,2025-04-09 04:00:00,149,Card,SUCCESS
TXN000283,SUB00555,2025-06-18 06:00:00,499,Wallet,SUCCESS
TXN000284,SUB00852,2025-03-07 21:00:00,199,Card,FAILED
TXN000285,SUB00580,2025-06-25 23:00:00,249,UPI,SUCCESS
TXN000286,SUB00531,2025-01-15 14:00:00,99,Retailer,SUCCESS
TXN000287,SUB00938,2025-04-21 18:00:00,299,Card,FAILED
TXN000288,SUB00614,2025-03-09 10:00:00,99,UPI,SUCCESS
TXN000289,SUB00674,2025-05-16 06:00:00,299,Card,FAILED
TXN000290,SUB00145,2025-01-19 12:00:00,149,Retailer,SUCCESS
TXN000291,SUB00314,2025-06-27 05:00:00,249,Wallet,FAILED
TXN000292,SUB00508,2025-01-28 01:00:00,149,Retailer,FAILED
TXN000293,SUB00196,2025-06-12 00:00:00,199,Retailer,FAILED
TXN000294,SUB00342,2025-06-16 20:00:00,499,Retailer,SUCCESS
TXN000295,SUB00324,2025-06-10 01:00:00,399,Retailer,FAILED
TXN000296,SUB00308,2025-01-19 04:00:00,149,Wallet,SUCCESS
TXN000297,SUB00561,2025-05-16 17:00:00,299,UPI,FAILED
TXN000298,SUB00990,2025-05-21 16:00:00,499,Retailer,SUCCESS
TXN000299,SUB00538,2025-01-18 02:00:00,99,Retailer,SUCCESS
TXN000300,SUB00290,2025-06-02 23:00:00,149,Card,FAILED
TXN000301,SUB00410,2025-01-07 07:00:00,499,Retailer,FAILED
TXN000302,SUB00031,2025-05-10 20:00:00,199,Wallet,SUCCESS
TXN000303,SUB00801,2025-03-11 06:00:00,499,Retailer,SUCCESS
TXN000304,SUB00799,2025-01-29 06:00:00,149,Retailer,FAILED
TXN000305,SUB00728,2025-05-07 15:00:00,499,Retailer,SUCCESS
TXN000306,SUB00885,2025-05-24 07:00:00,499,UPI,FAILED
TXN000307,SUB00602,2025-01-20 21:00:00,299,UPI,SUCCESS
TXN000308,SUB00239,2025-05-12 09:00:00,399,Card,SUCCESS
TXN000309,SUB00790,2025-06-01 15:00:00,299,Retailer,SUCCESS
TXN000310,SUB00982,2025-04-07 16:00:00,399,Wallet,SUCCESS
TXN000311,SUB00121,2025-05-23 03:00:00,299,UPI,SUCCESS
TXN000312,SUB00831,2025-05-15 23:00:00,249,Wallet,SUCCESS
TXN000313,SUB00171,2025-06-03 02:00:00,399,Card,SUCCESS
TXN000314,SUB00126,2025-02-10 12:00:00,199,Retailer,SUCCESS
TXN000315,SUB00397,2025-01-02 06:00:00,99,Card,FAILED
TXN000316,SUB00218,2025-01-28 04:00:00,99,Retailer,FAILED
TXN000317,SUB00117,2025-04-25 00:00:00,199,Card,FAILED
TXN000318,SUB00251,2025-02-05 15:00:00,499,Wallet,FAILED
TXN000319,SUB00558,2025-05-22 02:00:00,499,UPI,FAILED
TXN000320,SUB00326,2025-06-06 05:00:00,99,Retailer,SUCCESS
TXN000321,SUB00025,2025-03-08 03:00:00,249,Wallet,SUCCESS
TXN000322,SUB00887,2025-04-27 05:00:00,249,UPI,FAILED
TXN000323,SUB00910,2025-05-26 03:00:00,99,Wallet,SUCCESS
TXN000324,SUB00100,2025-01-11 00:00:00,499,UPI,SUCCESS
TXN000325,SUB00617,2025-06-18 05:00:00,499,Wallet,SUCCESS
TXN000326,SUB00231,2025-04-12 20:00:00,149,Card,SUCCESS
TXN000327,SUB00557,2025-06-16 00:00:00,99,Card,FAILED
TXN000328,SUB00460,2025-01-09 05:00:00,99,UPI,FAILED
TXN000329,SUB00320,2025-01-02 02:00:00,499,Wallet,SUCCESS
TXN000330,SUB00631,2025-04-10 02:00:00,499,Card,SUCCESS
TXN000331,SUB00037,2025-04-30 15:00:00,149,Retailer,SUCCESS
TXN000332,SUB00038,2025-06-11 23:00:00,199,Wallet,SUCCESS
TXN000333,SUB00713,2025-05-27 17:00:00,99,Retailer,FAILED
TXN000334,SUB00863,2025-02-22 22:00:00,399,Wallet,SUCCESS
TXN000335,SUB00247,2025-02-22 11:00:00,99,UPI,SUCCESS
TXN000336,SUB00728,2025-02-17 13:00:00,149,Wallet,SUCCESS
TXN000337,SUB00037,2025-03-21 18:00:00,199,Retailer,SUCCESS
TXN000338,SUB00497,2025-03-04 01:00:00,199,UPI,FAILED
TXN000339,SUB00971,2025-03-28 03:00:00,149,Card,FAILED
TXN000340,SUB00129,2025-01-08 18:00:00,249,Retailer,SUCCESS
TXN000341,SUB00057,2025-05-31 04:00:00,199,UPI,SUCCESS
TXN000342,SUB00317,2025-01-24 20:00:00,499,Card,SUCCESS
TXN000343,SUB00581,2025-06-11 21:00:00,249,Retailer,SUCCESS
TXN000344,SUB00245,2025-03-02 18:00:00,99,Card,SUCCESS
TXN000345,SUB00231,2025-06-19 16:00:00,199,Retailer,SUCCESS
TXN000346,SUB00206,2025-02-26 19:00:00,99,Wallet,FAILED
TXN000347,SUB00020,2025-06-29 00:00:00,99,Wallet,SUCCESS
TXN000348,SUB00402,2025-02-06 21:00:00,249,Retailer,SUCCESS
TXN000349,SUB00045,2025-01-24 22:00:00,199,Retailer,FAILED
TXN000350,SUB00247,2025-06-15 03:00:00,199,Retailer,SUCCESS
TXN000351,SUB00006,2025-01-05 07:00:00,299,Wallet,FAILED
TXN000352,SUB00926,2025-04-05 11:00:00,299,Wallet,SUCCESS
TXN000353,SUB00881,2025-03-15 20:00:00,149,UPI,SUCCESS
TXN000354,SUB00515,2025-01-28 20:00:00,299,UPI,SUCCESS
TXN000355,SUB00219,2025-02-13 00:00:00,99,Retailer,SUCCESS
TXN000356,SUB00108,2025-06-03 16:00:00,299,UPI,SUCCESS
TXN000357,SUB00762,2025-01-05 19:00:00,99,Retailer,SUCCESS
TXN000358,SUB00034,2025-04-27 10:00:00,99,Card,SUCCESS
TXN000359,SUB00835,2025-04-29 15:00:00,399,Wallet,SUCCESS
TXN000360,SUB00288,2025-04-13 03:00:00,249,Card,FAILED
TXN000361,SUB00149,2025-06-22 20:00:00,299,Wallet,SUCCESS
TXN000362,SUB00751,2025-06-04 21:00:00,249,Wallet,SUCCESS
TXN000363,SUB00551,2025-06-12 17:00:00,499,Retailer,SUCCESS
TXN000364,SUB00011,2025-02-06 00:00:00,199,Retailer,SUCCESS
TXN000365,SUB00912,2025-01-08 07:00:00,249,Wallet,SUCCESS
TXN000366,SUB00292,2025-05-05 12:00:00,499,Wallet,SUCCESS
TXN000367,SUB00259,2025-03-16 04:00:00,399,Retailer,SUCCESS
TXN000368,SUB00703,2025-05-30 14:00:00,199,Wallet,SUCCESS
TXN000369,SUB00066,2025-03-17 11:00:00,299,Wallet,SUCCESS
TXN000370,SUB00016,2025-05-24 01:00:00,99,Card,FAILED
