cdr_id,subscriber_id,call_timestamp,call_type,duration_seconds,tower_circle,network_type,ingestion_batch
CDR000124,SUB00446,2025-04-27 21:31:00,Voice,929,Haryana,3G,BATCH_2
CDR000125,SUB00507,2025-04-08 04:27:00,Voice,2467,Haryana,4G,BATCH_3
CDR000126,SUB00429,2025-02-16 13:50:00,Voice,127,UP East,4G,BATCH_1
CDR000127,SUB00930,2025-03-05 11:37:00,Data,2661,Odisha,3G,BATCH_1
CDR000128,SUB00893,2025-03-24 22:25:00,Data,879,West Bengal,5G,BATCH_2
CDR000129,SUB00263,2025-01-19 03:35:00,Voice,223,UP West,3G,BATCH_2
CDR000130,SUB00621,2025-06-21 19:45:00,Data,3327,Delhi,3G,BATCH_2
CDR000131,SUB00391,2025-03-19 12:42:00,SMS,551,Jammu & Kashmir,3G,BATCH_3
CDR000132,SUB00174,2025-05-09 15:59:00,SMS,1927,Kerala,3G,BATCH_2
CDR000133,SUB00444,2025-02-06 08:07:00,SMS,190,Kerala,4G,BATCH_2
CDR000134,SUB00949,2025-04-21 09:57:00,SMS,2520,Rajasthan,5G,BATCH_2
CDR000135,SUB00169,2025-03-22 23:31:00,Voice,2286,Maharashtra,5G,BATCH_2
CDR000136,SUB00153,2025-01-14 07:11:00,Voice,1936,Rajasthan,3G,BATCH_3
CDR000137,SUB00119,2025-05-07 01:28:00,SMS,2914,Jammu & Kashmir,4G,BATCH_2
CDR000138,SUB00867,2025-02-07 03:22:00,Voice,844,UP East,3G,BATCH_1
CDR000139,SUB00843,2025-03-11 18:57:00,Data,2408,Haryana,5G,BATCH_1
CDR000140,SUB00585,2025-02-16 13:58:00,Voice,1018,Assam,5G,BATCH_1
CDR000141,SUB00027,2025-03-14 21:43:00,Voice,1624,Madhya Pradesh,5G,BATCH_1
CDR000142,SUB00158,2025-01-08 02:29:00,Data,2711,Assam,4G,BATCH_3
CDR000143,SUB00609,2025-06-18 00:21:00,Voice,2697,Andhra Pradesh,4G,BATCH_2
CDR000144,SUB00752,2025-05-26 04:13:00,Voice,3293,Telangana,4G,BATCH_2
CDR000145,SUB00762,2025-01-19 17:38:00,SMS,389,West Bengal,4G,BATCH_1
CDR000146,SUB00790,2025-04-13 02:01:00,Voice,677,West Bengal,4G,BATCH_2
CDR000147,SUB00978,2025-06-17 04:07:00,SMS,2020,Bihar,5G,BATCH_2
CDR000148,SUB00618,2025-02-03 11:42:00,Voice,3418,Madhya Pradesh,5G,BATCH_1
CDR000149,SUB00907,2025-04-10 15:17:00,Data,2468,Bihar,3G,BATCH_2
CDR000150,SUB00629,2025-02-17 13:40:00,SMS,390,Delhi,5G,BATCH_2
CDR000151,SUB00693,2025-02-27 20:43:00,Data,645,Assam,5G,BATCH_3
CDR000152,SUB00086,2025-03-16 14:27:00,Voice,3293,Assam,4G,BATCH_1
CDR000153,SUB00701,2025-03-18 07:33:00,SMS,1220,Himachal Pradesh,3G,BATCH_3
CDR000154,SUB00047,2025-05-12 03:32:00,SMS,1701,Tamil Nadu,4G,BATCH_3
CDR000155,SUB00833,2025-03-06 11:16:00,Data,344,North East,3G,BATCH_1
CDR000156,SUB00474,2025-02-15 05:53:00,SMS,195,Karnataka,4G,BATCH_3
CDR000157,SUB00602,2025-04-27 21:28:00,Data,3318,Rajasthan,4G,BATCH_1
CDR000158,SUB00081,2025-06-04 08:55:00,Data,445,Bihar,5G,BATCH_1
CDR000158,SUB00081,2025-06-04 08:55:00,Data,445,Bihar,5G,BATCH_4
CDR000159,SUB00120,2025-01-04 05:41:00,SMS,1894,West Bengal,5G,BATCH_3
CDR000160,SUB00499,2025-03-19 19:52:00,Data,1487,Maharashtra,5G,BATCH_3
CDR000161,SUB00310,2025-01-23 04:08:00,Voice,791,Tamil Nadu,3G,BATCH_3
CDR000162,SUB00880,2025-01-07 06:30:00,Data,604,Telangana,3G,BATCH_2
CDR000163,SUB00879,2025-05-18 06:05:00,SMS,3162,Odisha,3G,BATCH_2
CDR000164,SUB00120,2025-02-12 04:47:00,Data,1833,Assam,4G,BATCH_1
CDR000165,SUB00600,2025-03-04 06:18:00,Data,3407,West Bengal,3G,BATCH_2
CDR000165,SUB00600,2025-03-04 06:18:00,Data,3407,West Bengal,3G,BATCH_4
CDR000166,SUB00646,2025-04-21 13:54:00,SMS,3029,Himachal Pradesh,5G,BATCH_3
CDR000167,SUB00298,2025-01-10 15:25:00,SMS,2112,Himachal Pradesh,5G,BATCH_3
CDR000168,SUB00927,2025-05-05 07:45:00,Voice,2173,Mumbai,4G,BATCH_3
CDR000169,SUB00066,2025-03-10 20:26:00,SMS,488,Assam,5G,BATCH_3
CDR000170,SUB00715,2025-04-22 00:10:00,SMS,2984,Haryana,4G,BATCH_2
CDR000171,SUB00520,2025-02-26 18:58:00,Data,1399,Andhra Pradesh,5G,BATCH_3
CDR000172,SUB00905,2025-03-17 23:45:00,SMS,1717,Maharashtra,5G,BATCH_3
CDR000173,SUB00484,2025-02-11 19:13:00,SMS,2839,Karnataka,5G,BATCH_2
CDR000174,SUB00205,2025-02-10 19:31:00,Voice,3260,Bihar,4G,BATCH_2
CDR000175,SUB00571,2025-01-13 00:22:00,SMS,1472,Maharashtra,3G,BATCH_1
CDR000176,SUB00916,2025-05-09 01:51:00,Voice,1393,Bihar,3G,BATCH_3
CDR000177,SUB00576,2025-02-27 15:16:00,SMS,3224,Madhya Pradesh,3G,BATCH_3
CDR000178,SUB00155,2025-06-26 16:38:00,Data,436,Delhi,4G,BATCH_2
CDR000179,SUB00774,2025-01-29 03:50:00,Data,2507,Tamil Nadu,5G,BATCH_1
CDR000180,SUB00172,2025-06-11 03:55:00,Voice,1491,Punjab,5G,BATCH_2
CDR000181,SUB00781,2025-05-10 15:46:00,Voice,641,Telangana,4G,BATCH_2
CDR000182,SUB00126,2025-02-21 14:26:00,Voice,1014,Assam,4G,BATCH_2
CDR000183,SUB00088,2025-03-10 11:45:00,SMS,1487,Telangana,5G,BATCH_1
CDR000184,SUB00772,2025-05-16 13:50:00,Voice,575,Bihar,4G,BATCH_2
CDR000185,SUB00975,2025-05-13 21:23:00,Voice,1822,Kerala,3G,BATCH_3
CDR000186,SUB00967,2025-01-18 02:21:00,SMS,1655,Punjab,4G,BATCH_1
CDR000187,SUB00038,2025-06-19 20:09:00,Data,246,Telangana,5G,BATCH_3
CDR000188,SUB00997,2025-03-17 13:25:00,Data,2880,Jammu & Kashmir,4G,BATCH_3
CDR000189,SUB00932,2025-03-30 00:52:00,SMS,2171,Andhra Pradesh,3G,BATCH_3
CDR000190,SUB00660,2025-02-22 17:39:00,Data,2680,Odisha,5G,BATCH_2
CDR000191,SUB00801,2025-06-16 12:49:00,Voice,1245,Karnataka,3G,BATCH_3
CDR000192,SUB00743,2025-02-02 16:34:00,SMS,885,Karnataka,5G,BATCH_3
CDR000193,SUB00349,2025-06-12 05:01:00,Voice,3272,Jammu & Kashmir,5G,BATCH_2
CDR000194,SUB00793,2025-03-19 23:27:00,Data,462,Delhi,4G,BATCH_2
CDR000195,SUB00363,2025-02-01 01:48:00,Data,520,Odisha,4G,BATCH_3
CDR000196,SUB00465,2025-03-28 07:51:00,Data,2392,Himachal Pradesh,5G,BATCH_3
CDR000197,SUB00865,2025-06-02 07:22:00,SMS,1175,Maharashtra,5G,BATCH_3
CDR000198,SUB00732,2025-04-07 16:47:00,Voice,441,UP West,5G,BATCH_3
CDR000199,SUB00798,2025-04-03 14:06:00,Voice,2924,Bihar,4G,BATCH_1
CDR000200,SUB00436,2025-02-03 15:13:00,SMS,329,Madhya Pradesh,5G,BATCH_3
CDR000201,SUB00573,2025-05-13 12:55:00,SMS,2403,Assam,5G,BATCH_2
CDR000202,SUB00706,2025-05-06 23:26:00,Voice,601,North East,3G,BATCH_2
CDR000203,SUB00133,2025-06-30 16:55:00,Data,493,Haryana,4G,BATCH_2
CDR000203,SUB00133,2025-06-30 16:55:00,Data,493,Haryana,4G,BATCH_4
CDR000204,SUB00161,2025-05-24 11:58:00,Voice,2474,Bihar,3G,BATCH_1
CDR000205,SUB00297,2025-01-11 16:09:00,Voice,1531,UP East,4G,BATCH_2
CDR000206,SUB00029,2025-02-06 04:50:00,Data,1737,Delhi,4G,BATCH_2
CDR000207,SUB00839,2025-05-06 00:07:00,Data,1438,Karnataka,3G,BATCH_2
CDR000208,SUB00318,2025-05-25 14:57:00,SMS,3210,West Bengal,4G,BATCH_3
CDR000209,SUB00136,2025-02-05 16:40:00,SMS,3129,Odisha,5G,BATCH_2
CDR000210,SUB00746,2025-03-25 02:51:00,Data,2731,Andhra Pradesh,4G,BATCH_2
CDR000211,SUB00405,2025-03-28 17:02:00,Data,1824,Rajasthan,5G,BATCH_1
CDR000212,SUB00725,2025-01-07 18:40:00,Data,1275,Jammu & Kashmir,5G,BATCH_1
CDR000213,SUB00088,2025-02-19 19:34:00,Data,3113,Delhi,5G,BATCH_3
CDR000214,SUB00488,2025-05-09 00:07:00,Data,2188,Punjab,3G,BATCH_2
CDR000215,SUB00252,2025-06-30 18:28:00,Voice,3315,Jammu & Kashmir,5G,BATCH_2
CDR000216,SUB00047,2025-05-06 00:21:00,SMS,749,Bihar,3G,BATCH_3
CDR000217,SUB00264,2025-01-24 03:06:00,Data,698,UP East,3G,BATCH_1
CDR000218,SUB00092,2025-02-09 09:26:00,Data,703,Delhi,5G,BATCH_2
CDR000219,SUB00731,2025-01-15 09:24:00,Voice,1320,Kerala,4G,BATCH_2
CDR000220,SUB00965,2025-01-31 01:12:00,Voice,3090,Andhra Pradesh,5G,BATCH_1
CDR000221,SUB00771,2025-05-10 12:07:00,SMS,258,UP West,4G,BATCH_3
CDR000222,SUB00496,2025-01-08 13:40:00,Voice,86,Rajasthan,5G,BATCH_3
CDR000223,SUB00253,2025-05-23 20:50:00,Voice,1257,Himachal Pradesh,4G,BATCH_2
CDR000224,SUB00652,2025-05-09 06:50:00,Voice,1539,Jammu & Kashmir,3G,BATCH_1
CDR000225,SUB00434,2025-05-23 14:02:00,Voice,3338,Odisha,5G,BATCH_2
CDR000226,SUB00172,2025-01-01 01:59:00,SMS,1129,Andhra Pradesh,4G,BATCH_3
CDR000227,SUB00360,2025-06-11 06:37:00,Data,1162,Delhi,3G,BATCH_3
CDR000228,SUB00072,2025-03-18 02:25:00,Data,513,Kerala,5G,BATCH_3
CDR000229,SUB00900,2025-04-21 06:39:00,Data,3295,UP West,5G,BATCH_2
CDR000230,SUB00771,2025-04-26 08:15:00,Data,1327,UP West,3G,BATCH_2
CDR000231,SUB00337,2025-01-05 22:08:00,Data,18,Andhra Pradesh,4G,BATCH_1
CDR000232,SUB00689,2025-02-14 13:35:00,Data,2890,Assam,4G,BATCH_3
CDR000233,SUB00898,2025-06-16 20:04:00,Data,136,Maharashtra,4G,BATCH_3
CDR000234,SUB00996,2025-04-07 19:22:00,SMS,735,Mumbai,3G,BATCH_2
CDR000235,SUB00198,2025-04-24 00:14:00,Data,91,Rajasthan,5G,BATCH_3
CDR000236,SUB00093,2025-06-07 20:19:00,Data,915,Gujarat,4G,BATCH_2
CDR000236,SUB00093,2025-06-07 20:19:00,Data,915,Gujarat,4G,BATCH_4
CDR000237,SUB00505,2025-06-30 22:38:00,Voice,39,Haryana,5G,BATCH_2
CDR000238,SUB00285,2025-05-26 16:31:00,Voice,2270,Haryana,5G,BATCH_3
CDR000239,SUB00699,2025-06-04 18:11:00,Voice,2419,Kerala,5G,BATCH_1
CDR000240,SUB00956,2025-05-26 07:56:00,Data,2995,Rajasthan,3G,BATCH_3
CDR000240,SUB00956,2025-05-26 07:56:00,Data,2995,Rajasthan,3G,BATCH_4
CDR000241,SUB00994,2025-06-27 21:34:00,Data,1045,Maharashtra,5G,BATCH_2
CDR000241,SUB00994,2025-06-27 21:34:00,Data,1045,Maharashtra,5G,BATCH_4
CDR000242,SUB00438,2025-06-14 21:41:00,Voice,3507,UP West,4G,BATCH_2
CDR000243,SUB00697,2025-05-13 14:31:00,SMS,2128,Delhi,5G,BATCH_1
CDR000243,SUB00697,2025-05-13 14:31:00,SMS,2128,Delhi,5G,BATCH_4
CDR000244,SUB00941,2025-04-18 17:28:00,SMS,31,West Bengal,3G,BATCH_2
CDR000245,SUB00586,2025-01-07 23:14:00,Data,1745,Karnataka,3G,BATCH_1
CDR000246,SUB00319,2025-01-17 20:40:00,Voice,124,Assam,4G,BATCH_1
CDR000247,SUB00642,2025-03-27 08:15:00,Voice,1949,Gujarat,4G,BATCH_1
CDR000248,SUB00533,2025-03-02 02:49:00,Data,2547,Odisha,3G,BATCH_3
CDR000249,SUB00128,2025-01-22 01:58:00,Voice,1555,UP West,5G,BATCH_1
CDR000250,SUB00064,2025-04-24 01:19:00,Data,2574,Bihar,3G,BATCH_1
CDR000251,SUB00573,2025-01-14 09:54:00,SMS,1655,Tamil Nadu,5G,BATCH_2
CDR000252,SUB00614,2025-06-18 19:00:00,SMS,1582,Odisha,4G,BATCH_3
CDR000253,SUB00348,2025-06-16 21:50:00,Voice,1869,North East,4G,BATCH_3
CDR000254,SUB00106,2025-01-04 19:45:00,Voice,2438,Haryana,5G,BATCH_1
CDR000255,SUB00263,2025-04-01 13:30:00,Data,2553,Odisha,3G,BATCH_1
CDR000256,SUB00046,2025-01-16 04:19:00,Data,1795,North East,5G,BATCH_2
CDR000257,SUB00907,2025-05-19 04:09:00,SMS,1274,Andhra Pradesh,4G,BATCH_2
CDR000258,SUB00009,2025-05-13 18:42:00,Data,602,Delhi,3G,BATCH_3
CDR000259,SUB00573,2025-01-14 13:22:00,Voice,830,Telangana,3G,BATCH_1
CDR000260,SUB00684,2025-05-02 22:44:00,SMS,2466,UP West,5G,BATCH_3
CDR000261,SUB00631,2025-03-18 13:21:00,Voice,439,Odisha,3G,BATCH_2
CDR000262,SUB00004,2025-06-13 07:44:00,Voice,1920,Andhra Pradesh,3G,BATCH_1
CDR000263,SUB00787,2025-03-26 23:24:00,Voice,1649,Punjab,3G,BATCH_2
CDR000263,SUB00787,2025-03-26 23:24:00,Voice,1649,Punjab,3G,BATCH_4
CDR000264,SUB00367,2025-01-08 17:07:00,Voice,1200,Odisha,3G,BATCH_3
CDR000265,SUB00784,2025-04-03 01:01:00,Voice,820,UP East,3G,BATCH_1
CDR000266,SUB00737,2025-02-14 10:54:00,Data,1017,Punjab,3G,BATCH_1
CDR000267,SUB00269,2025-01-26 00:53:00,Data,572,West Bengal,5G,BATCH_1
CDR000268,SUB00216,2025-03-20 14:15:00,SMS,3325,Madhya Pradesh,5G,BATCH_1
CDR000269,SUB00819,2025-06-09 13:56:00,Data,277,Tamil Nadu,3G,BATCH_1
CDR000270,SUB00197,2025-05-17 12:44:00,SMS,1312,Andhra Pradesh,4G,BATCH_3
CDR000271,SUB00048,2025-06-07 18:12:00,Data,1214,Kerala,4G,BATCH_1
CDR000272,SUB00815,2025-03-13 04:54:00,Data,2402,Assam,3G,BATCH_3
CDR000273,SUB00482,2025-06-19 19:04:00,Voice,2093,West Bengal,5G,BATCH_3
CDR000274,SUB00532,2025-04-29 05:20:00,Data,1541,North East,5G,BATCH_2
CDR000275,SUB00507,2025-05-02 08:37:00,SMS,2623,Himachal Pradesh,5G,BATCH_1
CDR000276,SUB00917,2025-02-21 14:55:00,Voice,1631,Haryana,4G,BATCH_2
CDR000277,SUB00586,2025-02-10 11:16:00,Data,357,Kerala,3G,BATCH_2
CDR000278,SUB00361,2025-02-28 18:02:00,SMS,2108,Andhra Pradesh,4G,BATCH_2
CDR000279,SUB00443,2025-04-15 11:51:00,SMS,1308,Rajasthan,4G,BATCH_1
